# module=highfre322
# component=axion_transition
# transition_family=fine
# eta_model=finite_separation_fourier
# eta_reference_hz=4.9671265225313139e-03
# cloud_evolution_mode=event_lz_impulse
# waveform_phase_convention=physical_transition_beat_v2
# level_damping_convention=both_absorptive_levels_v1
# initial_level_decay_hz=5.9421954114539064e+00
# final_level_decay_hz=0.0000000000000000e+00
# resonance_harmonic=4
# max_harmonic=8
# multi_harmonic_drive=1
# harmonics_to_keep=8
# active_harmonics=1,2,3,4,5,6,7,8
# lz_window_widths=8.0000000000000000e+00
# backreaction_gate_mode=landau_zener
# backreaction_gate_width_factor=2.5000000000000000e-01
# alpha=2.9999999999999999e-01
# bh_spin=6.9999999999999996e-01
# cloud_mass_fraction=5.0000000000000001e-03
# redshift=0.0000000000000000e+00
# luminosity_distance_m=3.0856775814913671e+19
# primary_mass_msun=1.0000000000000000e+00
# secondary_mass_msun=1.0000000000000002e-02
# eccentricity_init=6.5000000000000002e-01
# transition_frequency_obs_hz=1.4121429464253092e+01
# fft_nyquist_hz=1.6957850958023158e+02
# fft_dt_obs_s=2.9484868173312861e-03
# fft_df_hz=2.7580019773644662e-03
# fft_n_samples=30743
# fft_n_fft=122972
# fft_window=kaiser
# fft_window_beta=1.4000000000000000e+01
# fft_mean_removed=1
# fourier_convention=h_tilde_integral_h_exp_minus_2pi_i_f_t_dt
# fft_amplitude_units=strain_seconds
# spectrum_window_mode=first_selected_orbits
# spectrum_window_orbits=3.2000000000000000e+02
# spectrum_window_local_period_source_s=2.8325744292335137e-01
# spectrum_window_start_source_s=3.3384417258123713e+03
# spectrum_window_stop_source_s=3.4290841075478438e+03
# spectrum_window_duration_source_s=9.0642381735472554e+01
# spectrum_window_anchor_reason=first_selected_crossing
# spectrum_window_anchor_time_source_s=3.3837629166801075e+03
# spectrum_window_anchor_harmonic=4
# frequency_frame=observer
# columns=frequency_hz amplitude_abs h_tilde_real h_tilde_imag
1.379000988682232975e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.406581008455877746e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.434161028229522516e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.461741048003167009e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.489321067776811780e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.516901087550456551e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.544481107324101044e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.572061127097745814e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.599641146871390307e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.627221166645035078e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.654801186418679848e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.682381206192324341e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.709961225965969112e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.737541245739613605e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.765121265513258375e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.792701285286903146e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.820281305060547639e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.847861324834192409e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.875441344607836902e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.903021364381481673e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
